Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
DENT 720C,,,,,,,,,,,,,,,,
DENT 720D,,,,,,,,,,,,,,,,
DENT 724,,,,2%,10%,17%,19%,26%,15%,6%,3%,2%,<1%,<1%,<1%,<1%
DENT 725,,,,,,,,,,,,,,,,
DENT 725A,,,,,,,,,,,,,,,,
DENT 725B,,,,,,,,,,,,,,,,
DENT 725C,,,,,,,,,,,,,,,,
DENT 725I,,,,,,,,,,,,,,,,
DENT 727,,,,40%,14%,12%,14%,11%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 732,,,,<1%,59%,15%,8%,8%,8%,2%,1%,<1%,<1%,<1%,<1%,<1%
DENT 740,,,,12%,22%,19%,13%,16%,8%,4%,4%,1%,<1%,<1%,<1%,<1%
DENT 741,,,,33%,26%,17%,10%,5%,4%,3%,<1%,1%,<1%,<1%,<1%,<1%
DENT 742,,,,9%,26%,18%,15%,16%,7%,5%,2%,1%,<1%,<1%,<1%,<1%
DENT 743A,,,,,,,,,,,,,,,,
DENT 744,,,,16%,54%,22%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 745,,,,41%,38%,13%,5%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 746,,,,,,,,,,,,,,,,
DENT 753,,,,,,,,,,,,,,,,
DENT 755A,,,,,,,,,,,,,,,,
DENT 756,,,,,,,,,,,,,,,,
DENT 757,,,,,,,,,,,,,,,,
DENT 776C,,,,,,,,,,,,,,,,
DENT 801,,,,,,,,,,,,,,,,
DENT 807A,,,,,,,,,,,,,,,,
DENT 810,,,,<1%,75%,10%,8%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 813,,,,3%,8%,17%,16%,20%,18%,7%,8%,4%,<1%,<1%,<1%,<1%
DENT 815,,,,,,,,,,,,,,,,
DENT 820,,,,<1%,30%,33%,16%,11%,3%,4%,1%,1%,<1%,<1%,<1%,<1%
DENT 820A,,,,,,,,,,,,,,,,
DENT 820B,,,,,,,,,,,,,,,,
DENT 820C,,,,,,,,,,,,,,,,
DENT 820D,,,,,,,,,,,,,,,,
DENT 824,,,,,,,,,,,,,,,,
DENT 825,,,,,,,,,,,,,,,,
DENT 825A,,,,,,,,,,,,,,,,
DENT 825B,,,,,,,,,,,,,,,,
DENT 825C,,,,,,,,,,,,,,,,
DENT 825I,,,,,,,,,,,,,,,,
DENT 832,,,,,,,,,,,,,,,,
DENT 835A,,,,,,,,,,,,,,,,
DENT 840,,,,,,,,,,,,,,,,
DENT 851,,,,,,,,,,,,,,,,
DENT 853,,,,,,,,,,,,,,,,
DENT 855,,,,<1%,28%,12%,8%,10%,19%,16%,4%,1%,<1%,<1%,<1%,<1%
DENT 857,,,,22%,59%,10%,3%,4%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
DENT 998,,,,,,,,,,,,,,,,
ENDODONT 651,,,,,,,,,,,,,,,,
ENDODONT 652,,,,47%,46%,4%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENDODONT 653,,,,30%,40%,30%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENDODONT 654,,,,14%,74%,6%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENDODONT 658,,,,,,,,,,,,,,,,
ENDODONT 659,,,,24%,73%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENDODONT 660,,,,35%,55%,8%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENDODONT 661,,,,7%,48%,38%,<1%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORALBIOL 670,,,,,,,,,,,,,,,,
