Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
AEROSP 590,,,,27%,62%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AEROSP 597,100%,100%,,,,,,,,,,,,,,
AEROSP 611,,,,,,,,,,,,,,,,
AEROSP 614,,,,,,,,,,,,,,,,
AEROSP 615,,,,,,,,,,,,,,,,
AEROSP 618,,,,,,,,,,,,,,,,
AEROSP 623,,,,26%,45%,16%,5%,3%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%
AEROSP 625,,,,,,,,,,,,,,,,
AEROSP 627,,,,,,,,,,,,,,,,
AEROSP 633,100%,100%,,8%,58%,21%,4%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AEROSP 714,,,,,,,,,,,,,,,,
AEROSP 729,97%,94%,18%,9%,68%,21%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AEROSP 740,97%,97%,11%,10%,63%,22%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BIOMEDE 211,45%,85%,8%,8%,24%,15%,16%,18%,11%,2%,4%,1%,<1%,<1%,<1%,1%
BIOMEDE 221,67%,76%,17%,5%,20%,18%,18%,17%,10%,4%,3%,3%,<1%,1%,<1%,<1%
BIOMEDE 231,71%,85%,30%,9%,24%,22%,16%,15%,8%,3%,2%,1%,<1%,<1%,<1%,<1%
BIOMEDE 241,73%,96%,58%,3%,50%,34%,8%,3%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 280,,,,,,,,,,,,,,,,
BIOMEDE 295,,,,,,,,,,,,,,,,
BIOMEDE 311,,,,,,,,,,,,,,,,
BIOMEDE 321,64%,79%,2%,9%,34%,31%,14%,9%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%
BIOMEDE 331,73%,100%,8%,9%,46%,15%,14%,10%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 332,55%,95%,45%,<1%,23%,22%,21%,11%,13%,4%,5%,1%,<1%,<1%,<1%,<1%
BIOMEDE 350,54%,85%,43%,20%,42%,20%,10%,3%,3%,1%,1%,1%,<1%,<1%,<1%,<1%
BIOMEDE 410,79%,90%,14%,8%,20%,19%,23%,16%,12%,2%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 417,79%,95%,7%,9%,48%,24%,12%,4%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 418,53%,63%,16%,11%,32%,24%,17%,9%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%
BIOMEDE 419,66%,85%,42%,3%,27%,18%,18%,23%,9%,1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 424,93%,92%,28%,10%,35%,15%,16%,8%,5%,2%,4%,<1%,2%,1%,<1%,1%
BIOMEDE 430,,,,,,,,,,,,,,,,
BIOMEDE 450,68%,81%,79%,<1%,57%,36%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 451,80%,86%,93%,3%,52%,39%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 452,78%,89%,92%,7%,48%,34%,10%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 456,92%,95%,16%,<1%,40%,32%,12%,10%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 458,70%,95%,11%,7%,60%,26%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 464,,,,,,,,,,,,,,,,
BIOMEDE 474,96%,100%,,10%,34%,30%,18%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 476,,,,4%,36%,22%,16%,12%,4%,5%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 479,59%,67%,7%,13%,22%,22%,22%,13%,5%,<1%,2%,1%,<1%,<1%,<1%,<1%
BIOMEDE 481,,,,14%,36%,45%,1%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
BIOMEDE 484,79%,94%,,47%,32%,16%,1%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 490,,,,19%,77%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 495,,,,,,,,,,,,,,,,
BIOMEDE 499,96%,98%,40%,2%,74%,17%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 500,63%,78%,14%,,,,,,,,,,,,,
BIOMEDE 503,46%,84%,19%,6%,40%,37%,12%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 504,98%,94%,,1%,79%,12%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 506,,,,,,,,,,,,,,,,
BIOMEDE 510,85%,100%,8%,<1%,88%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 516,95%,98%,16%,9%,37%,32%,16%,5%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 517,94%,94%,82%,14%,43%,31%,9%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 519,66%,85%,42%,5%,21%,18%,22%,30%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 522,,,,,,,,,,,,,,,,
BIOMEDE 523,,,,24%,42%,21%,12%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 525,,,,,,,,,,,,,,,,
BIOMEDE 530,,,,,,,,,,,,,,,,
BIOMEDE 533,,,,,,,,,,,,,,,,
BIOMEDE 534,84%,68%,37%,3%,13%,37%,41%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 550,58%,89%,1%,,,,,,,,,,,,,
BIOMEDE 551,93%,76%,45%,19%,47%,23%,6%,2%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 552,,,,,,,,,,,,,,,,
BIOMEDE 556,,,,,,,,,,,,,,,,
BIOMEDE 561,,,,,,,,,,,,,,,,
BIOMEDE 563,95%,100%,,24%,76%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 574,,,,,,,,,,,,,,,,
BIOMEDE 580,,,,<1%,85%,15%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 582,,,,,,,,,,,,,,,,
BIOMEDE 584,,,,20%,48%,24%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 588,92%,96%,,1%,87%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOMEDE 590,,,,24%,71%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
BIOMEDE 591,,,,,,,,,,,,,,,,
BIOMEDE 594,100%,,,,,,,,,,,,,,,
BIOMEDE 596,,,,,,,,,,,,,,,,
BIOMEDE 598,,,,,,,,,,,,,,,,
BIOMEDE 599,94%,94%,35%,16%,56%,19%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CEE 200,65%,92%,4%,,,,,,,,,,,,,
CEE 211,50%,90%,13%,8%,16%,14%,12%,17%,11%,8%,6%,5%,1%,1%,1%,1%
CEE 212,78%,96%,3%,9%,22%,16%,16%,11%,8%,8%,4%,2%,1%,2%,<1%,1%
CEE 230,42%,86%,10%,2%,10%,16%,20%,16%,16%,10%,5%,3%,1%,1%,<1%,<1%
CEE 265,68%,84%,13%,3%,18%,10%,14%,21%,10%,8%,9%,3%,<1%,1%,<1%,1%
CEE 303,40%,78%,28%,4%,34%,12%,15%,13%,10%,6%,4%,1%,<1%,1%,<1%,1%
CEE 307,95%,96%,17%,1%,34%,38%,17%,6%,1%,2%,1%,<1%,<1%,<1%,<1%,<1%
CEE 312,83%,94%,3%,4%,22%,16%,10%,14%,10%,7%,9%,6%,1%,<1%,<1%,<1%
CEE 325,47%,86%,20%,2%,18%,17%,13%,13%,13%,11%,7%,3%,<1%,1%,<1%,<1%
CEE 345,68%,98%,20%,7%,18%,19%,20%,12%,11%,6%,4%,2%,<1%,1%,<1%,<1%
CEE 351,59%,82%,3%,12%,28%,19%,20%,13%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 365,64%,91%,30%,1%,24%,10%,12%,24%,7%,10%,10%,1%,<1%,1%,<1%,1%
CEE 366,40%,68%,76%,2%,31%,33%,16%,11%,4%,1%,<1%,1%,<1%,1%,<1%,<1%
CEE 373,33%,96%,8%,3%,19%,14%,12%,17%,12%,5%,7%,5%,1%,2%,<1%,3%
CEE 375,49%,81%,51%,2%,34%,24%,16%,14%,5%,2%,3%,<1%,<1%,<1%,<1%,<1%
CEE 402,75%,91%,43%,6%,48%,16%,17%,6%,4%,1%,1%,1%,<1%,<1%,<1%,<1%
CEE 412,90%,100%,4%,14%,51%,17%,10%,4%,1%,<1%,1%,2%,<1%,<1%,<1%,<1%
CEE 413,88%,69%,7%,6%,35%,11%,8%,28%,2%,5%,3%,<1%,<1%,2%,<1%,<1%
CEE 415,86%,100%,6%,3%,23%,28%,16%,12%,8%,4%,1%,6%,<1%,<1%,<1%,<1%
CEE 421,61%,97%,33%,8%,26%,15%,10%,17%,13%,2%,3%,4%,2%,<1%,<1%,<1%
CEE 428,87%,95%,40%,<1%,20%,17%,22%,13%,6%,8%,7%,4%,<1%,2%,<1%,<1%
CEE 430,,,,,,,,,,,,,,,,
CEE 431,73%,98%,7%,13%,43%,20%,11%,6%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
CEE 435,,,,12%,38%,12%,22%,12%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 446,100%,,,,,,,,,,,,,,,
CEE 450,,,,11%,39%,7%,4%,16%,9%,4%,4%,4%,<1%,<1%,<1%,<1%
CEE 465,66%,78%,37%,4%,31%,24%,16%,12%,5%,4%,2%,1%,<1%,1%,<1%,<1%
CEE 480,73%,97%,17%,2%,21%,15%,19%,19%,15%,4%,2%,2%,<1%,<1%,<1%,<1%
CEE 481,78%,96%,13%,<1%,20%,11%,16%,26%,8%,4%,10%,4%,<1%,2%,<1%,1%
CEE 482,76%,97%,39%,2%,10%,12%,12%,25%,14%,7%,13%,5%,1%,<1%,<1%,<1%
CEE 490,,,,11%,78%,4%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 500,,,,,,,,,,,,,,,,
CEE 504,,,,,,,,,,,,,,,,
CEE 505,,,,,,,,,,,,,,,,
CEE 509,72%,88%,,25%,20%,29%,19%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 510,91%,93%,19%,8%,40%,28%,9%,10%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 511,96%,100%,62%,10%,39%,25%,9%,13%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 512,97%,100%,8%,19%,43%,17%,13%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 513,98%,100%,28%,4%,36%,41%,16%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 514,91%,100%,,8%,36%,28%,17%,9%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%
CEE 515,96%,100%,5%,7%,39%,25%,13%,10%,4%,1%,<1%,1%,<1%,<1%,<1%,<1%
CEE 516,,,,,,,,,,,,,,,,
CEE 517,98%,100%,12%,15%,60%,18%,2%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 519,,,,,,,,,,,,,,,,
CEE 520,,,,,,,,,,,,,,,,
CEE 521,,,,15%,31%,38%,9%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 522,67%,,,,,,,,,,,,,,,
CEE 524,,,,,,,,,,,,,,,,
CEE 526,,,,3%,22%,26%,17%,22%,1%,6%,<1%,1%,<1%,1%,<1%,<1%
CEE 527,100%,,,,,,,,,,,,,,,
CEE 530,87%,80%,10%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 531,93%,100%,,19%,22%,25%,14%,15%,3%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CEE 532,89%,96%,,9%,19%,28%,24%,11%,6%,1%,<1%,2%,<1%,<1%,<1%,<1%
CEE 533,,,,,,,,,,,,,,,,
CEE 534,,,,14%,31%,34%,11%,4%,4%,<1%,2%,<1%,1%,<1%,<1%,<1%
CEE 535,100%,100%,,,,,,,,,,,,,,
CEE 536,79%,94%,37%,16%,21%,21%,26%,8%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 537,,,,,,,,,,,,,,,,
CEE 538,,,,,,,,,,,,,,,,
CEE 539,,,,,,,,,,,,,,,,
CEE 540,81%,100%,,10%,50%,13%,20%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 541,,,,,,,,,,,,,,,,
CEE 542,100%,100%,,,,,,,,,,,,,,
CEE 543,100%,,,,,,,,,,,,,,,
CEE 544,78%,100%,,,,,,,,,,,,,,
CEE 545,91%,100%,,11%,24%,23%,19%,11%,10%,1%,<1%,1%,<1%,<1%,<1%,<1%
CEE 546,76%,88%,38%,6%,35%,26%,32%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 547,95%,100%,,32%,55%,9%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 548,83%,100%,43%,3%,37%,43%,10%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 549,100%,100%,,10%,36%,13%,13%,19%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 550,,,,,,,,,,,,,,,,
CEE 551,,,,,,,,,,,,,,,,
CEE 552,,,,,,,,,,,,,,,,
CEE 553,,,,,,,,,,,,,,,,
CEE 555,,,,,,,,,,,,,,,,
CEE 563,95%,95%,,1%,54%,31%,6%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 564,,,,,,,,,,,,,,,,
CEE 565,93%,93%,,13%,53%,22%,4%,5%,<1%,1%,1%,1%,<1%,<1%,1%,1%
CEE 567,85%,98%,38%,6%,30%,20%,15%,16%,6%,3%,5%,<1%,<1%,<1%,<1%,<1%
CEE 571,85%,91%,17%,3%,32%,34%,19%,10%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 572,96%,100%,36%,9%,44%,20%,14%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 573,87%,84%,8%,13%,16%,22%,10%,19%,16%,4%,1%,<1%,<1%,<1%,<1%,<1%
CEE 574,96%,95%,10%,26%,39%,11%,9%,13%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 575,89%,97%,10%,4%,81%,8%,4%,1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 576,92%,100%,57%,9%,67%,12%,3%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 580,70%,100%,47%,2%,38%,27%,19%,12%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 581,74%,93%,18%,4%,30%,20%,19%,16%,6%,2%,1%,2%,<1%,<1%,<1%,1%
CEE 582,76%,98%,33%,2%,28%,26%,19%,14%,7%,2%,2%,<1%,<1%,<1%,<1%,<1%
CEE 584,,,,,,,,,,,,,,,,
CEE 585,,,,,,,,,,,,,,,,
CEE 586,79%,85%,15%,5%,42%,22%,15%,13%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 587,,,,,,,,,,,,,,,,
CEE 588,81%,97%,10%,<1%,52%,36%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 589,,,,,,,,,,,,,,,,
CEE 590,,,,,,,,,,,,,,,,
CEE 591,54%,92%,,12%,38%,21%,25%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 592,,,,<1%,36%,33%,28%,2%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 593,,,,,,,,,,,,,,,,
CEE 594,,,,,,,,,,,,,,,,
CEE 596,,,,,,,,,,,,,,,,
CEE 597,100%,100%,38%,,,,,,,,,,,,,
CEE 599,,,,,,,,,,,,,,,,
CEE 611,100%,100%,13%,14%,75%,7%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 613,,,,,,,,,,,,,,,,
CEE 614,,,,,,,,,,,,,,,,
CEE 615,,,,,,,,,,,,,,,,
CEE 621,100%,,,,,,,,,,,,,,,
CEE 622,,,,,,,,,,,,,,,,
CEE 624,,,,27%,67%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 625,,,,,,,,,,,,,,,,
CEE 628,,,,,,,,,,,,,,,,
CEE 630,,,,,,,,,,,,,,,,
CEE 631,,,,,,,,,,,,,,,,
CEE 645,,,,,,,,,,,,,,,,
CEE 646,,,,,,,,,,,,,,,,
CEE 648,,,,,,,,,,,,,,,,
CEE 649,,,,,,,,,,,,,,,,
CEE 650,100%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CEE 651,,,,,,,,,,,,,,,,
CEE 679,92%,100%,20%,,,,,,,,,,,,,
CEE 682,,,,,,,,,,,,,,,,
CEE 687,,,,,,,,,,,,,,,,
CEE 693,100%,100%,,,,,,,,,,,,,,
CEE 810,,,,,,,,,,,,,,,,
CEE 812,87%,95%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CEE 830,100%,100%,,,,,,,,,,,,,,
CEE 840,87%,95%,,,,,,,,,,,,,,
CEE 880,70%,92%,3%,,,,,,,,,,,,,
CEE 881,58%,91%,,,,,,,,,,,,,,
CEE 910,,,,22%,76%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 921,,,,,,,,,,,,,,,,
CEE 930,95%,91%,27%,21%,60%,15%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 946,,,,,,,,,,,,,,,,
CEE 950,,,,,,,,,,,,,,,,
CEE 955,,,,,,,,,,,,,,,,
CEE 970,,,,32%,63%,2%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CEE 980,,,,2%,95%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CHE 230,81%,93%,48%,3%,22%,13%,10%,14%,13%,8%,9%,6%,2%,1%,<1%,<1%
CHE 290,,,,39%,59%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 330,80%,96%,66%,3%,17%,17%,17%,20%,12%,8%,4%,2%,<1%,1%,<1%,<1%
CHE 341,62%,91%,27%,6%,22%,18%,23%,12%,8%,5%,4%,1%,1%,<1%,<1%,<1%
CHE 342,66%,88%,38%,3%,16%,20%,17%,14%,12%,8%,4%,2%,2%,1%,<1%,<1%
CHE 343,79%,92%,22%,1%,22%,22%,23%,16%,7%,4%,2%,2%,1%,<1%,<1%,<1%
CHE 344,79%,84%,21%,3%,12%,14%,20%,17%,12%,9%,7%,4%,1%,1%,<1%,<1%
CHE 360,58%,71%,57%,6%,36%,27%,12%,11%,5%,2%,1%,<1%,<1%,<1%,<1%,<1%
CHE 405,89%,100%,17%,23%,38%,32%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 407,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CHE 412,84%,89%,3%,16%,28%,17%,10%,18%,7%,2%,3%,<1%,<1%,<1%,<1%,<1%
CHE 431,90%,91%,9%,<1%,68%,16%,10%,5%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CHE 444,,,,,,,,,,,,,,,,
CHE 460,59%,77%,15%,7%,31%,30%,19%,7%,3%,2%,1%,<1%,<1%,<1%,<1%,<1%
CHE 466,55%,86%,41%,3%,20%,18%,14%,20%,10%,7%,6%,2%,<1%,<1%,<1%,<1%
CHE 470,100%,,,,,,,,,,,,,,,
CHE 472,,,,,,,,,,,,,,,,
CHE 485,62%,90%,27%,5%,32%,21%,18%,12%,8%,4%,1%,<1%,<1%,<1%,<1%,<1%
CHE 487,81%,93%,31%,2%,54%,28%,12%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 488,99%,91%,24%,5%,69%,18%,7%,1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%
CHE 489,98%,93%,34%,12%,59%,19%,8%,1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%
CHE 490,,,,35%,61%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 496,92%,100%,5%,2%,65%,24%,4%,2%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%
CHE 497,,,,14%,62%,14%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 500,,,,,,,,,,,,,,,,
CHE 505,71%,83%,8%,16%,39%,29%,10%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 510,,,,,,,,,,,,,,,,
CHE 511,,,,,,,,,,,,,,,,
CHE 512,84%,92%,8%,12%,22%,17%,14%,13%,14%,1%,4%,1%,<1%,<1%,<1%,2%
CHE 516,,,,,,,,,,,,,,,,
CHE 519,84%,93%,,21%,34%,38%,2%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
CHE 520,,,,,,,,,,,,,,,,
CHE 527,59%,81%,62%,4%,22%,28%,29%,17%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 528,59%,92%,18%,3%,21%,31%,22%,18%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 531,,,,,,,,,,,,,,,,
CHE 538,80%,78%,12%,14%,36%,26%,13%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 540,,,,,,,,,,,,,,,,
CHE 542,66%,97%,9%,6%,27%,33%,20%,12%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CHE 543,,,,,,,,,,,,,,,,
CHE 548,,,,,,,,,,,,,,,,
CHE 554,73%,70%,16%,20%,47%,17%,10%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 557,,,,,,,,,,,,,,,,
CHE 558,,,,,,,,,,,,,,,,
CHE 559,80%,92%,25%,19%,23%,10%,16%,16%,10%,<1%,<1%,6%,<1%,<1%,<1%,<1%
CHE 563,95%,100%,,24%,76%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 568,,,,,,,,,,,,,,,,
CHE 574,,,,,,,,,,,,,,,,
CHE 578,,,,,,,,,,,,,,,,
CHE 580,99%,100%,11%,1%,88%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 584,,,,20%,48%,24%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 588,92%,96%,,1%,87%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 595,63%,83%,17%,4%,96%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 596,,,,,,,,,,,,,,,,
CHE 597,79%,,,7%,67%,18%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 598,100%,100%,17%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 601,,,,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 606,,,,,,,,,,,,,,,,
CHE 616,,,,,,,,,,,,,,,,
CHE 617,,,,,,,,,,,,,,,,
CHE 628,,,,,,,,,,,,,,,,
CHE 629,,,,,,,,,,,,,,,,
CHE 686,,,,,,,,,,,,,,,,
CHE 695,,,,28%,67%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 696,83%,89%,1%,9%,66%,15%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHE 697,,,,,,,,,,,,,,,,
CHE 698,,,,,,,,,,,,,,,,
CHE 751,,,,,,,,,,,,,,,,
CHE 990,,,,,,,,,,,,,,,,
CHE 995,,,,,,,,,,,,,,,,
SPACE 101,68%,91%,5%,19%,42%,14%,10%,6%,4%,2%,2%,1%,<1%,<1%,<1%,<1%
CLIMATE 102,45%,81%,10%,7%,42%,16%,8%,13%,4%,4%,3%,1%,<1%,1%,<1%,1%
SPACE 103,71%,94%,6%,8%,51%,17%,7%,7%,5%,1%,1%,1%,<1%,1%,<1%,1%
CLIMATE 105,51%,82%,8%,18%,49%,17%,7%,4%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
CLIMATE 110,,,,,,,,,,,,,,,,
CLIMATE 171,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
,,,,,,,,,,,,,,,,
CLIMATE 172,72%,93%,11%,43%,22%,15%,9%,4%,2%,2%,<1%,1%,<1%,<1%,<1%,1%
,,,,,,,,,,,,,,,,
SPACE 204,,,,,,,,,,,,,,,,
SPACE 205,,,,,,,,,,,,,,,,
CLIMATE 280,,,,9%,71%,14%,2%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 300,,,,,,,,,,,,,,,,
SPACE 310,,,,,,,,,,,,,,,,
CLIMATE 320,69%,93%,,2%,20%,37%,21%,9%,8%,1%,<1%,1%,<1%,<1%,<1%,<1%
CLIMATE 321,58%,96%,18%,10%,14%,15%,8%,20%,13%,4%,6%,5%,<1%,1%,<1%,2%
CLIMATE 323,45%,83%,52%,12%,32%,11%,17%,15%,3%,2%,5%,<1%,<1%,<1%,<1%,3%
,,,,,,,,,,,,,,,,
SPACE 370,81%,100%,8%,35%,20%,12%,10%,12%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 380,54%,89%,22%,16%,33%,33%,2%,4%,2%,4%,<1%,2%,<1%,<1%,2%,<1%
CLIMATE 381,,,,,,,,,,,,,,,,
CLIMATE 401,67%,60%,,<1%,33%,26%,23%,9%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 405,78%,95%,9%,14%,60%,10%,8%,5%,1%,1%,1%,<1%,1%,<1%,<1%,<1%
SPACE 405,78%,95%,9%,14%,60%,10%,8%,5%,1%,1%,1%,<1%,1%,<1%,<1%,<1%
CLIMATE 407,,,,,,,,,,,,,,,,
CLIMATE 410,,,,22%,26%,21%,14%,7%,4%,<1%,4%,1%,<1%,1%,<1%,<1%
CLIMATE 411,,,,5%,44%,39%,7%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 414,,,,<1%,11%,23%,26%,14%,14%,3%,3%,3%,3%,<1%,<1%,<1%
CLIMATE 420,,,,,,,,,,,,,,,,
